"CREATEDBYID","CREATEDDATE","ETICHETTA_RISULTATI_EN__C","ETICHETTA_RISULTATI_IT__C","ID","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OPZIONE_DOMANDA_EN__C","OPZIONE_DOMANDA_IT__C","ORDINE__C","OWNERID","SYSTEMMODSTAMP","VALORE_NUMERICO__C","VALORE_TESTUALE__C"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Insoddisfacente","a0y1n000002oLh3AAE","a0w1n000006Cr4QAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000020","","Insoddisfacente, ci sono molte tensioni","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Insoddisfacente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Molto coerenti","a0y1n000002oLh4AAE","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000021","","Molto coerenti","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Abbastanza coerenti","a0y1n000002oLh5AAE","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000022","","Abbastanza coerenti","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Mediamente coerenti","a0y1n000002oLh6AAE","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000023","","Mediamente coerenti","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Mediamente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Poco coerenti","a0y1n000002oLh7AAE","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000024","","Poco coerenti","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Non coerenti","a0y1n000002oLh8AAE","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000025","","Non coerenti","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Molto","a0y1n000002oLh9AAE","a0w1n000006Cr4SAAS","false","0050Y000002b7vuQAA","2019-10-11T09:50:10.000Z","","","OD-00000026","","Molto","1.0","0050Y000000NtQOQA0","2019-10-11T09:50:10.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Abbastanza","a0y1n000002oLhAAAU","a0w1n000006Cr4SAAS","false","0050Y000002b7vuQAA","2019-10-11T09:50:29.000Z","","","OD-00000027","","Abbastanza","2.0","0050Y000000NtQOQA0","2019-10-11T09:50:29.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficientemente","a0y1n000002oLhBAAU","a0w1n000006Cr4SAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000028","","Sufficientemente","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Non abbastanza","a0y1n000002oLhCAAU","a0w1n000006Cr4SAAS","false","0050Y000002b7vuQAA","2019-10-11T09:50:59.000Z","","","OD-00000029","","Non abbastanza","4.0","0050Y000000NtQOQA0","2019-10-11T09:50:59.000Z","2.0","Non abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Per nulla","a0y1n000002oLhDAAU","a0w1n000006Cr4SAAS","false","0050Y000002b7vuQAA","2019-10-11T09:51:11.000Z","","","OD-00000030","","Per nulla","5.0","0050Y000000NtQOQA0","2019-10-11T09:51:11.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Ottime","a0y1n000002oLhEAAU","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000031","","Ottime, mi consentono di essere molto competitivo","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Ottime"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Buone","a0y1n000002oLhFAAU","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000032","","Buone, mi consentono di essere abbastanza competitivo","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Buone"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","In linea","a0y1n000002oLhGAAU","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000033","","Sono in linea con la concorrenza","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","In linea"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Da migliorare","a0y1n000002oLhHAAU","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000034","","Da migliorare, non sono abbastanza competitive","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Da migliorare"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Da rivedere","a0y1n000002oLhIAAU","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000035","","Da rivedere, sono poco competitive","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Da rivedere"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Moltissima","a0y1n000002oLhJAAU","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000036","","Moltissima","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Moltissima"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Abbastanza","a0y1n000002oLhKAAU","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000037","","Abbastanza","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficiente","a0y1n000002oLhLAAU","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000038","","Sufficiente","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Poca","a0y1n000002oLhMAAU","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000039","","Poca","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poca"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Per nulla","a0y1n000002oLhNAAU","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000040","","Per nulla","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Ottimo","a0y1n000002oLhOAAU","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000041","","Ottimo, siamo in sintonia","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Ottimo"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Buono","a0y1n000002oLhPAAU","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000042","","Buono, siamo allineati","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Buono"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficiente","a0y1n000002oLhQAAU","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000043","","Sufficiente, c'è un rapporto adeguato","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Migliorabile","a0y1n000002oLhRAAU","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000044","","Migliorabile, ci sono alcune tensioni","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Migliorabile"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Insoddisfacente","a0y1n000002oLhSAAU","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000045","","Insoddisfacente, ci sono molte tensioni","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Insoddisfacente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Ottimo","a0y1n000002oLhTAAU","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000046","","Ottimo","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Ottimo"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Buono","a0y1n000002oLhUAAU","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000047","","Buono","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Buono"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Sufficiente","a0y1n000002oLhVAAU","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000048","","Sufficiente","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Migliorabile","a0y1n000002oLhWAAU","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000049","","Migliorabile","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Migliorabile"
"0050Y000000NtQOQA0","2019-08-26T14:15:39.000Z","","Insoddisfacente","a0y1n000002oLhXAAU","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000050","","Insoddisfacente","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Insoddisfacente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Molto","a0y1n000002oUATAA2","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000051","","Molto soddisfatto","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Abbastanza","a0y1n000002oUAUAA2","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000052","","Abbastanza soddisfatto","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Sufficientemente","a0y1n000002oUAVAA2","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000053","","Sufficientemente soddisfatto","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Poco","a0y1n000002oUAWAA2","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000054","","Poco soddisfatto","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Per nulla","a0y1n000002oUAXAA2","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000055","","Per nulla soddisfatto","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Molto","a0y1n000002oUAYAA2","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000056","","Molto, tutti hanno chiari gli obiettivi e sono davvero motivati","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Abbastanza","a0y1n000002oUAZAA2","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000057","","Abbastanza, sono allineati agli obiettivi e motivati","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Non del tutto","a0y1n000002oUAaAAM","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000058","","Non del tutto, parte del Team non è allineata","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Non del tutto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Sufficientemente","a0y1n000002oUAbAAM","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000059","","Sufficientemente, anche se alcuni non sono così ingaggiati","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Poco","a0y1n000002oUAcAAM","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000060","","Poco, occorre allineare gran parte del Team","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Poco"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Molto","a0y1n000002oUAdAAM","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000061","","Molto, credo che la strategia sia vincente","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Abbastanza","a0y1n000002oUAeAAM","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000062","","Abbastanza, credo si possano raggiungere buoni risultati","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Sufficientemente","a0y1n000002oUAfAAM","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000063","","Sufficientemente, alcuni aspetti strategici andrebbero migliorati","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficientemente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Poco","a0y1n000002oUAgAAM","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000064","","Poco, diversi aspetti strategici non mi convincono","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Per nulla","a0y1n000002oUAhAAM","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000065","","Per nulla, la strategia andrebbe rivista","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Ottima","a0y1n000002oUAiAAM","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000066","","Ottima, siamo in sintonia","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Ottima"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Buona","a0y1n000002oUAjAAM","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000067","","Buona, siamo allineati","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Buona"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Sufficiente","a0y1n000002oUAkAAM","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000068","","Sufficiente, c'è un rapporto adeguato","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Migliorabile","a0y1n000002oUAlAAM","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000069","","Migliorabile, ci sono alcune tensioni","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Migliorabile"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Insoddisfacente","a0y1n000002oUAmAAM","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000070","","Insoddisfacente, ci sono molte tensioni","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Insoddisfacente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Molto competitive","a0y1n000002oUAnAAM","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000071","","Sì, sono molto competitive","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Abbastanza competitive","a0y1n000002oUAoAAM","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000072","","Sì, sono abbastanza competitive","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Mediamente competitive","a0y1n000002oUApAAM","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000073","","Nella media, sono sufficientemente competitive","3.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","3.0","Mediamente"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Poco competitive","a0y1n000002oUAqAAM","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000074","","No, sono poco competitive","4.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","2.0","Poco"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Non competitive","a0y1n000002oUArAAM","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000075","","No, non sono competitive","5.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","1.0","Per nulla"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Molto","a0y1n000002oUAsAAM","a0w1n000006DRaBAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000076","","Sì, molto","1.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","5.0","Molto"
"0050Y000000NtQOQA0","2019-08-30T13:47:11.000Z","","Abbastanza","a0y1n000002oUAtAAM","a0w1n000006DRaBAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:38:53.000Z","","","OD-00000077","","Sì, abbastanza","2.0","0050Y000000NtQOQA0","2019-09-23T15:38:53.000Z","4.0","Abbastanza"
