"ARTICOLO__C","CREATEDBYID","CREATEDDATE","GENITORE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","PUBBLICO__C","SYSTEMMODSTAMP","TESTO__C","TIPOLOGIA__C","UTENTE__C"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2019-12-17T09:52:05.000Z","","a500E0000004YzuQAE","false","","0050E000000SMCWQA4","2020-03-26T10:56:39.000Z","","","UA-00000153","0050E00000527RMQAY","true","2020-03-26T10:56:39.000Z","","Visualizzazione",""
"","0050E00000527RMQAY","2019-08-08T15:32:43.000Z","","a500E0000000UxBQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000046","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Like","a4n0E000000n1pYQAQ"
"","0050E00000527RMQAY","2019-08-08T15:35:04.000Z","","a500E0000000UxVQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000050","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Like","a4n0E000000n1pUQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2020-04-16T14:03:56.000Z","","a500E000000D9ZRQA0","false","","0050E00000527RMQAY","2020-04-16T14:03:56.000Z","","","UA-00000174","0050E00000527RMQAY","true","2020-04-16T14:03:56.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E00000021pPQAQ","0050E00000527RMQAY","2020-04-16T12:55:51.000Z","","a500E000000D9ZCQA0","false","","0050E00000527RMQAY","2020-04-16T12:55:51.000Z","","","UA-00000172","0050E00000527RMQAY","true","2020-04-16T12:55:51.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"","0050E00000527RMQAY","2019-08-08T14:06:24.000Z","","a500E0000000UwNQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000043","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1pTQAQ"
"","0050E00000527RMQAY","2019-07-22T14:53:03.000Z","","a500E0000000UcXQAU","false","","0050E000000SMCWQA4","2019-09-10T08:33:08.000Z","","","UA-00000013","0050E00000527RMQAY","true","2019-09-10T08:33:08.000Z","","Visualizzazione","a4n0E000000n1bIQAQ"
"a4z0E000000EyF7QAK","0050E00000527RMQAY","2019-12-12T15:41:25.000Z","","a500E0000004Yy3QAE","false","","0050E00000527RMQAY","2019-12-12T15:41:25.000Z","","","UA-00000131","0050E00000527RMQAY","true","2019-12-12T15:41:25.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2019-09-12T15:50:36.000Z","","a500E0000000W84QAE","false","","0050E00000527RMQAY","2019-09-12T15:50:36.000Z","","","UA-00000079","0050E00000527RMQAY","true","2019-09-12T15:50:36.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"a4z0E000000EyFqQAK","0050E00000527RMQAY","2019-09-10T10:43:16.000Z","","a500E0000000W2PQAU","false","","0050E00000527RMQAY","2019-09-10T10:43:16.000Z","","","UA-00000067","0050E00000527RMQAY","true","2019-09-10T10:43:16.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
"a4z0E000000EyFvQAK","0050E00000527RMQAY","2019-09-10T13:20:21.000Z","","a500E0000000W2tQAE","false","","0050E00000527RMQAY","2019-09-10T13:20:21.000Z","","","UA-00000068","0050E00000527RMQAY","true","2019-09-10T13:20:21.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
"a4z0E000000EyF2QAK","0050E00000527RMQAY","2019-09-10T09:28:41.000Z","","a500E0000000W20QAE","false","","0050E00000527RMQAY","2019-09-10T09:28:41.000Z","","","UA-00000062","0050E00000527RMQAY","true","2019-09-10T09:28:41.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2019-12-12T15:40:59.000Z","","a500E0000004YxoQAE","false","","0050E00000527RMQAY","2019-12-12T15:40:59.000Z","","","UA-00000128","0050E00000527RMQAY","true","2019-12-12T15:40:59.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E0000006kffQAA","0050E00000527RMQAY","2019-12-19T14:42:00.000Z","","a500E0000004Z0nQAE","false","","0050E00000527RMQAY","2019-12-19T14:42:00.000Z","","","UA-00000155","0050E00000527RMQAY","true","2019-12-19T14:42:00.000Z","","Visualizzazione","a4n0E000000n1bHQAQ"
"a4z0E00000021pFQAQ","0050E00000527RMQAY","2020-04-16T15:40:59.000Z","","a500E000000D9bIQAS","false","","0050E00000527RMQAY","2020-04-16T15:40:59.000Z","","","UA-00000197","0050E00000527RMQAY","true","2020-04-16T15:40:59.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"a4z0E00000021ovQAA","0050E00000527RMQAY","2020-04-16T16:18:00.000Z","","a500E000000D9bmQAC","false","","0050E00000527RMQAY","2020-04-16T16:18:00.000Z","","","UA-00000198","0050E00000527RMQAY","true","2020-04-16T16:18:00.000Z","","Visualizzazione","a4n0E000000n0wsQAA"
"a4z0E00000021pPQAQ","0050E00000527RMQAY","2020-04-16T15:37:03.000Z","","a500E000000D9bDQAS","false","","0050E00000527RMQAY","2020-04-16T15:37:03.000Z","","","UA-00000196","0050E00000527RMQAY","true","2020-04-16T15:37:03.000Z","","Visualizzazione","a4n0E000000Q8BuQAK"
"","0050E00000527RMQAY","2019-07-22T14:53:10.000Z","","a500E0000000UccQAE","false","","0050E000000SMCWQA4","2019-09-10T08:33:08.000Z","","","UA-00000014","0050E00000527RMQAY","true","2019-09-10T08:33:08.000Z","","Like","a4n0E000000n1bIQAQ"
"","0050E00000527RMQAY","2019-07-22T15:05:03.000Z","","a500E0000000UchQAE","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000015","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1bJQAQ"
"","0050E00000527RMQAY","2019-07-22T14:52:38.000Z","","a500E0000000UcNQAU","false","","0050E000005VHptQAG","2019-09-10T08:01:59.000Z","","","UA-00000011","0050E00000527RMQAY","true","2019-09-10T08:01:59.000Z","","Visualizzazione","a4n0E000000n1bIQAQ"
"a4z0E000000EyHSQA0","0050E00000527RMQAY","2019-09-11T11:06:00.000Z","","a500E0000000W4lQAE","false","","0050E00000527RMQAY","2019-09-11T11:06:00.000Z","","","UA-00000071","0050E00000527RMQAY","true","2019-09-11T11:06:00.000Z","","Visualizzazione","a4n0E000000n1pUQAQ"
