"CREATEDBYID","CREATEDDATE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP","TIPOLOGIA__C","UTENTE__C"
"0050E00000527RMQAY","2019-10-17T09:30:00.000Z","a4y0E0000005NojQAE","false","0050E00000527RMQAY","2019-10-17T09:30:00.000Z","","","ACC-00001746","0050E00000527RMQAY","2019-10-17T09:30:00.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:36:33.000Z","a4y0E0000005NooQAE","false","0050E00000527RMQAY","2019-10-17T09:36:33.000Z","","","ACC-00001747","0050E00000527RMQAY","2019-10-17T09:36:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:37:09.000Z","a4y0E0000005NotQAE","false","0050E00000527RMQAY","2019-10-17T09:37:09.000Z","","","ACC-00001748","0050E00000527RMQAY","2019-10-17T09:37:09.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:43:24.000Z","a4y0E0000005NoyQAE","false","0050E00000527RMQAY","2019-10-17T09:43:24.000Z","","","ACC-00001749","0050E00000527RMQAY","2019-10-17T09:43:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:46:24.000Z","a4y0E0000005Np3QAE","false","0050E00000527RMQAY","2019-10-17T09:46:24.000Z","","","ACC-00001750","0050E00000527RMQAY","2019-10-17T09:46:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T09:47:04.000Z","a4y0E0000005Np8QAE","false","0050E00000527RMQAY","2019-10-17T09:47:04.000Z","","","ACC-00001751","0050E00000527RMQAY","2019-10-17T09:47:04.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:05:30.000Z","a4y0E0000005NpDQAU","false","0050E00000527RMQAY","2019-10-17T10:05:30.000Z","","","ACC-00001752","0050E00000527RMQAY","2019-10-17T10:05:30.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:26:24.000Z","a4y0E0000005NpIQAU","false","0050E00000527RMQAY","2019-10-17T10:26:24.000Z","","","ACC-00001753","0050E00000527RMQAY","2019-10-17T10:26:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T10:44:11.000Z","a4y0E0000005NpNQAU","false","0050E00000527RMQAY","2019-10-17T10:44:11.000Z","","","ACC-00001754","0050E00000527RMQAY","2019-10-17T10:44:11.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:22:50.000Z","a4y0E0000005NpSQAU","false","0050E00000527RMQAY","2019-10-17T12:22:50.000Z","","","ACC-00001755","0050E00000527RMQAY","2019-10-17T12:22:50.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:23:31.000Z","a4y0E0000005NpXQAU","false","0050E00000527RMQAY","2019-10-17T12:23:31.000Z","","","ACC-00001756","0050E00000527RMQAY","2019-10-17T12:23:31.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:25:33.000Z","a4y0E0000005NpcQAE","false","0050E00000527RMQAY","2019-10-17T12:25:33.000Z","","","ACC-00001757","0050E00000527RMQAY","2019-10-17T12:25:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:27:42.000Z","a4y0E0000005NphQAE","false","0050E00000527RMQAY","2019-10-17T12:27:42.000Z","","","ACC-00001758","0050E00000527RMQAY","2019-10-17T12:27:42.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:29:50.000Z","a4y0E0000005NpmQAE","false","0050E00000527RMQAY","2019-10-17T12:29:50.000Z","","","ACC-00001759","0050E00000527RMQAY","2019-10-17T12:29:50.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:30:02.000Z","a4y0E0000005NprQAE","false","0050E00000527RMQAY","2019-10-17T12:30:02.000Z","","","ACC-00001760","0050E00000527RMQAY","2019-10-17T12:30:02.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:31:57.000Z","a4y0E0000005NpwQAE","false","0050E00000527RMQAY","2019-10-17T12:31:57.000Z","","","ACC-00001761","0050E00000527RMQAY","2019-10-17T12:31:57.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:32:20.000Z","a4y0E0000005Nq1QAE","false","0050E00000527RMQAY","2019-10-17T12:32:20.000Z","","","ACC-00001762","0050E00000527RMQAY","2019-10-17T12:32:20.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:39:33.000Z","a4y0E0000005Nq6QAE","false","0050E00000527RMQAY","2019-10-17T12:39:33.000Z","","","ACC-00001763","0050E00000527RMQAY","2019-10-17T12:39:33.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:39:54.000Z","a4y0E0000005NqBQAU","false","0050E00000527RMQAY","2019-10-17T12:39:54.000Z","","","ACC-00001764","0050E00000527RMQAY","2019-10-17T12:39:54.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:40:57.000Z","a4y0E0000005NqGQAU","false","0050E00000527RMQAY","2019-10-17T12:40:57.000Z","","","ACC-00001765","0050E00000527RMQAY","2019-10-17T12:40:57.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:43:28.000Z","a4y0E0000005NqLQAU","false","0050E00000527RMQAY","2019-10-17T12:43:28.000Z","","","ACC-00001766","0050E00000527RMQAY","2019-10-17T12:43:28.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:45:52.000Z","a4y0E0000005NqQQAU","false","0050E00000527RMQAY","2019-10-17T12:45:52.000Z","","","ACC-00001767","0050E00000527RMQAY","2019-10-17T12:45:52.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:47:32.000Z","a4y0E0000005NqVQAU","false","0050E00000527RMQAY","2019-10-17T12:47:32.000Z","","","ACC-00001768","0050E00000527RMQAY","2019-10-17T12:47:32.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T12:47:48.000Z","a4y0E0000005NqaQAE","false","0050E00000527RMQAY","2019-10-17T12:47:48.000Z","","","ACC-00001769","0050E00000527RMQAY","2019-10-17T12:47:48.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T13:11:59.000Z","a4y0E0000005NqfQAE","false","0050E00000527RMQAY","2019-10-17T13:11:59.000Z","","","ACC-00001770","0050E00000527RMQAY","2019-10-17T13:11:59.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T13:12:29.000Z","a4y0E0000005NqkQAE","false","0050E00000527RMQAY","2019-10-17T13:12:29.000Z","","","ACC-00001771","0050E00000527RMQAY","2019-10-17T13:12:29.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:28:37.000Z","a4y0E0000005NqpQAE","false","0050E00000527RMQAY","2019-10-17T14:28:37.000Z","","","ACC-00001772","0050E00000527RMQAY","2019-10-17T14:28:37.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:35:09.000Z","a4y0E0000005NquQAE","false","0050E00000527RMQAY","2019-10-17T14:35:09.000Z","","","ACC-00001773","0050E00000527RMQAY","2019-10-17T14:35:09.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:35:34.000Z","a4y0E0000005NqzQAE","false","0050E00000527RMQAY","2019-10-17T14:35:34.000Z","","","ACC-00001774","0050E00000527RMQAY","2019-10-17T14:35:34.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:42:14.000Z","a4y0E0000005Nr4QAE","false","0050E00000527RMQAY","2019-10-17T14:42:14.000Z","","","ACC-00001775","0050E00000527RMQAY","2019-10-17T14:42:14.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:42:52.000Z","a4y0E0000005Nr9QAE","false","0050E00000527RMQAY","2019-10-17T14:42:52.000Z","","","ACC-00001776","0050E00000527RMQAY","2019-10-17T14:42:52.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T14:45:53.000Z","a4y0E0000005NrEQAU","false","0050E00000527RMQAY","2019-10-17T14:45:53.000Z","","","ACC-00001777","0050E00000527RMQAY","2019-10-17T14:45:53.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T15:10:09.000Z","a4y0E0000005NrJQAU","false","0050E00000527RMQAY","2019-10-17T15:10:09.000Z","","","ACC-00001778","0050E00000527RMQAY","2019-10-17T15:10:09.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T15:10:55.000Z","a4y0E0000005NrOQAU","false","0050E00000527RMQAY","2019-10-17T15:10:55.000Z","","","ACC-00001779","0050E00000527RMQAY","2019-10-17T15:10:55.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T15:11:04.000Z","a4y0E0000005NrTQAU","false","0050E00000527RMQAY","2019-10-17T15:11:04.000Z","","","ACC-00001780","0050E00000527RMQAY","2019-10-17T15:11:04.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-17T15:13:53.000Z","a4y0E0000005NrYQAU","false","0050E00000527RMQAY","2019-10-17T15:13:53.000Z","","","ACC-00001781","0050E00000527RMQAY","2019-10-17T15:13:53.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:03:35.000Z","a4y0E0000005NrxQAE","false","0050E00000527RMQAY","2019-10-21T08:03:35.000Z","","","ACC-00001782","0050E00000527RMQAY","2019-10-21T08:03:35.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:06:38.000Z","a4y0E0000005Ns2QAE","false","0050E00000527RMQAY","2019-10-21T08:06:38.000Z","","","ACC-00001783","0050E00000527RMQAY","2019-10-21T08:06:38.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:08:03.000Z","a4y0E0000005Ns7QAE","false","0050E00000527RMQAY","2019-10-21T08:08:03.000Z","","","ACC-00001784","0050E00000527RMQAY","2019-10-21T08:08:03.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:29:54.000Z","a4y0E0000005NsCQAU","false","0050E00000527RMQAY","2019-10-21T08:29:54.000Z","","","ACC-00001785","0050E00000527RMQAY","2019-10-21T08:29:54.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:32:35.000Z","a4y0E0000005NsHQAU","false","0050E00000527RMQAY","2019-10-21T08:32:35.000Z","","","ACC-00001786","0050E00000527RMQAY","2019-10-21T08:32:35.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:32:56.000Z","a4y0E0000005NsMQAU","false","0050E00000527RMQAY","2019-10-21T08:32:56.000Z","","","ACC-00001787","0050E00000527RMQAY","2019-10-21T08:32:56.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:36:42.000Z","a4y0E0000005NsRQAU","false","0050E00000527RMQAY","2019-10-21T08:36:42.000Z","","","ACC-00001788","0050E00000527RMQAY","2019-10-21T08:36:42.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:37:30.000Z","a4y0E0000005NsWQAU","false","0050E00000527RMQAY","2019-10-21T08:37:30.000Z","","","ACC-00001789","0050E00000527RMQAY","2019-10-21T08:37:30.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:40:08.000Z","a4y0E0000005NsbQAE","false","0050E00000527RMQAY","2019-10-21T08:40:08.000Z","","","ACC-00001790","0050E00000527RMQAY","2019-10-21T08:40:08.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:41:23.000Z","a4y0E0000005NsgQAE","false","0050E00000527RMQAY","2019-10-21T08:41:23.000Z","","","ACC-00001791","0050E00000527RMQAY","2019-10-21T08:41:23.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:44:36.000Z","a4y0E0000005NshQAE","false","0050E00000527RMQAY","2019-10-21T08:44:36.000Z","","","ACC-00001794","0050E00000527RMQAY","2019-10-21T08:44:36.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:43:31.000Z","a4y0E0000005NslQAE","false","0050E00000527RMQAY","2019-10-21T08:43:31.000Z","","","ACC-00001792","0050E00000527RMQAY","2019-10-21T08:43:31.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:44:06.000Z","a4y0E0000005NsqQAE","false","0050E00000527RMQAY","2019-10-21T08:44:06.000Z","","","ACC-00001793","0050E00000527RMQAY","2019-10-21T08:44:06.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:48:48.000Z","a4y0E0000005NsvQAE","false","0050E00000527RMQAY","2019-10-21T08:48:48.000Z","","","ACC-00001795","0050E00000527RMQAY","2019-10-21T08:48:48.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:52:03.000Z","a4y0E0000005Nt0QAE","false","0050E00000527RMQAY","2019-10-21T08:52:03.000Z","","","ACC-00001796","0050E00000527RMQAY","2019-10-21T08:52:03.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:53:08.000Z","a4y0E0000005Nt5QAE","false","0050E00000527RMQAY","2019-10-21T08:53:08.000Z","","","ACC-00001797","0050E00000527RMQAY","2019-10-21T08:53:08.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:54:03.000Z","a4y0E0000005NtAQAU","false","0050E00000527RMQAY","2019-10-21T08:54:03.000Z","","","ACC-00001798","0050E00000527RMQAY","2019-10-21T08:54:03.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:54:19.000Z","a4y0E0000005NtFQAU","false","0050E00000527RMQAY","2019-10-21T08:54:19.000Z","","","ACC-00001799","0050E00000527RMQAY","2019-10-21T08:54:19.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:54:59.000Z","a4y0E0000005NtKQAU","false","0050E00000527RMQAY","2019-10-21T08:54:59.000Z","","","ACC-00001800","0050E00000527RMQAY","2019-10-21T08:54:59.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:55:59.000Z","a4y0E0000005NtPQAU","false","0050E00000527RMQAY","2019-10-21T08:55:59.000Z","","","ACC-00001801","0050E00000527RMQAY","2019-10-21T08:55:59.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:56:58.000Z","a4y0E0000005NtUQAU","false","0050E00000527RMQAY","2019-10-21T08:56:58.000Z","","","ACC-00001802","0050E00000527RMQAY","2019-10-21T08:56:58.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:57:58.000Z","a4y0E0000005NtZQAU","false","0050E00000527RMQAY","2019-10-21T08:57:58.000Z","","","ACC-00001803","0050E00000527RMQAY","2019-10-21T08:57:58.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:58:23.000Z","a4y0E0000005NteQAE","false","0050E00000527RMQAY","2019-10-21T08:58:23.000Z","","","ACC-00001804","0050E00000527RMQAY","2019-10-21T08:58:23.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:58:25.000Z","a4y0E0000005NtjQAE","false","0050E00000527RMQAY","2019-10-21T08:58:25.000Z","","","ACC-00001805","0050E00000527RMQAY","2019-10-21T08:58:25.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:59:14.000Z","a4y0E0000005NtoQAE","false","0050E00000527RMQAY","2019-10-21T08:59:14.000Z","","","ACC-00001806","0050E00000527RMQAY","2019-10-21T08:59:14.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T08:59:39.000Z","a4y0E0000005NttQAE","false","0050E00000527RMQAY","2019-10-21T08:59:39.000Z","","","ACC-00001807","0050E00000527RMQAY","2019-10-21T08:59:39.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:00:28.000Z","a4y0E0000005NtyQAE","false","0050E00000527RMQAY","2019-10-21T09:00:28.000Z","","","ACC-00001808","0050E00000527RMQAY","2019-10-21T09:00:28.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:01:10.000Z","a4y0E0000005Nu3QAE","false","0050E00000527RMQAY","2019-10-21T09:01:10.000Z","","","ACC-00001809","0050E00000527RMQAY","2019-10-21T09:01:10.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:03:01.000Z","a4y0E0000005Nu8QAE","false","0050E00000527RMQAY","2019-10-21T09:03:01.000Z","","","ACC-00001810","0050E00000527RMQAY","2019-10-21T09:03:01.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:04:35.000Z","a4y0E0000005NuDQAU","false","0050E00000527RMQAY","2019-10-21T09:04:35.000Z","","","ACC-00001811","0050E00000527RMQAY","2019-10-21T09:04:35.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:06:37.000Z","a4y0E0000005NuIQAU","false","0050E00000527RMQAY","2019-10-21T09:06:37.000Z","","","ACC-00001812","0050E00000527RMQAY","2019-10-21T09:06:37.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:06:54.000Z","a4y0E0000005NuNQAU","false","0050E00000527RMQAY","2019-10-21T09:06:54.000Z","","","ACC-00001813","0050E00000527RMQAY","2019-10-21T09:06:54.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:07:02.000Z","a4y0E0000005NuSQAU","false","0050E00000527RMQAY","2019-10-21T09:07:02.000Z","","","ACC-00001814","0050E00000527RMQAY","2019-10-21T09:07:02.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:07:50.000Z","a4y0E0000005NuXQAU","false","0050E00000527RMQAY","2019-10-21T09:07:50.000Z","","","ACC-00001815","0050E00000527RMQAY","2019-10-21T09:07:50.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:08:22.000Z","a4y0E0000005NucQAE","false","0050E00000527RMQAY","2019-10-21T09:08:22.000Z","","","ACC-00001816","0050E00000527RMQAY","2019-10-21T09:08:22.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:14:26.000Z","a4y0E0000005NuhQAE","false","0050E00000527RMQAY","2019-10-21T09:14:26.000Z","","","ACC-00001817","0050E00000527RMQAY","2019-10-21T09:14:26.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:15:47.000Z","a4y0E0000005NumQAE","false","0050E00000527RMQAY","2019-10-21T09:15:47.000Z","","","ACC-00001818","0050E00000527RMQAY","2019-10-21T09:15:47.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:16:24.000Z","a4y0E0000005NurQAE","false","0050E00000527RMQAY","2019-10-21T09:16:24.000Z","","","ACC-00001819","0050E00000527RMQAY","2019-10-21T09:16:24.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:17:43.000Z","a4y0E0000005NuwQAE","false","0050E00000527RMQAY","2019-10-21T09:17:43.000Z","","","ACC-00001820","0050E00000527RMQAY","2019-10-21T09:17:43.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:18:25.000Z","a4y0E0000005Nv1QAE","false","0050E00000527RMQAY","2019-10-21T09:18:25.000Z","","","ACC-00001821","0050E00000527RMQAY","2019-10-21T09:18:25.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:19:35.000Z","a4y0E0000005Nv6QAE","false","0050E00000527RMQAY","2019-10-21T09:19:35.000Z","","","ACC-00001822","0050E00000527RMQAY","2019-10-21T09:19:35.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:20:07.000Z","a4y0E0000005NvBQAU","false","0050E00000527RMQAY","2019-10-21T09:20:07.000Z","","","ACC-00001823","0050E00000527RMQAY","2019-10-21T09:20:07.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:20:49.000Z","a4y0E0000005NvGQAU","false","0050E00000527RMQAY","2019-10-21T09:20:49.000Z","","","ACC-00001824","0050E00000527RMQAY","2019-10-21T09:20:49.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:24:17.000Z","a4y0E0000005NvLQAU","false","0050E00000527RMQAY","2019-10-21T09:24:17.000Z","","","ACC-00001825","0050E00000527RMQAY","2019-10-21T09:24:17.000Z","","a4n0E000000n0wsQAA"
"0050E00000527RMQAY","2019-10-21T09:26:50.000Z","a4y0E0000005NvQQAU","false","0050E00000527RMQAY","2019-10-21T09:26:50.000Z","","","ACC-00001826","0050E00000527RMQAY","2019-10-21T09:26:50.000Z","","a4n0E000000n0wsQAA"
