"APP__C","AREA__C","CREATEDBYID","CREATEDDATE","DATA_ORA_CHIUSURA__C","DATA_ORA_ELIMINAZIONE__C","DESCRIZIONE__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NOME__C","OWNERID","PROPRIETARIO__C","RIFERIMENTO_IMMAGINE__C","SYSTEMMODSTAMP","TIPOLOGIA__C","URL_IMMAGINE__C"
"a4l0E000000DvYeQAK","Marketing","0050E00000527RMQAY","2020-05-27T15:48:16.000Z","","","Prova 1 descrizione","a5g0E000000NMxYQAW","false","","0050E00000527RMQAY","2021-01-29T16:14:44.000Z","","","C-000110","Prova 1","0050E00000527RMQAY","a4n0E000000Q8BuQAK","a4l0E000000DvYeQAK_files/a5g0E000000NMxYQAW/1590673730297_image_picker_DFB570CB-6AC4-4EE3-8E61-4C15FAA2A98B-1991-000001689879BF9C.jpg","2021-01-29T16:14:44.000Z","group",""
"a4l0E000000DvYeQAK","Sales","0050E00000527RMQAY","2020-05-27T15:49:22.000Z","","","cucina","a5g0E000000NMxdQAG","false","","0050E00000527RMQAY","2020-05-27T15:49:51.000Z","","","C-000111","Cucina","0050E00000527RMQAY","a4n0E000000Q8BuQAK","a4l0E000000DvYeQAK_files/a5g0E000000NMxdQAG/1590594562010_f1915961-0810-4c49-8b1d-166dd863acfc4960979287857524833.jpg","2020-05-27T15:49:51.000Z","channel",""
"a4l0E000000DvYeQAK","","0050E00000527RMQAY","2020-05-28T13:42:42.000Z","","","Conversazione tra Francesco Marchesin 3 Pietro Rampazzo","a5g0E000000NMyWQAW","false","","0050E00000527RMQAY","2020-05-28T13:42:43.000Z","","","C-000113","a4n0E000000Q8BuQAK:Francesco Marchesin|a4n0E000000n1bHQAQ:Pietro Rampazzo","0050E00000527RMQAY","a4n0E000000Q8BuQAK","","2020-05-28T13:42:43.000Z","direct",""
"a4l0E000000DvYeQAK","","0050E00000527RMQAY","2020-05-27T15:50:11.000Z","","","Conversazione tra Francesco Marchesin 3 Francesco Marchesin","a5g0E000000NMxiQAG","false","","0050E00000527RMQAY","2020-05-27T15:50:14.000Z","","","C-000112","a4n0E000000Q8BuQAK:Francesco Marchesin|a4n0E000000n0wsQAA:Francesco Marchesin","0050E00000527RMQAY","a4n0E000000Q8BuQAK","","2020-05-27T15:50:14.000Z","direct",""
